,page,text,face,h1,h2,l,r
9057,525, m. de long. Feuilles,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",258.177001953125,272.85101318359375,327.1683349609375,420.13818359375
9058,525,"opposées, étalées, triquètres subfalciformes, très épaisses et charnues ainsi que les","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",269.9369812011719,284.6109924316406,34.79999923706055,420.1407775878906
9059,525,"tiges. Fleurs solitaires, terminales, pédonculées, à staminodes pétaloïdes très nom-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",281.6969909667969,296.3710021972656,35.040000915527344,419.947265625
9060,525,"breux, largement étalés, d'un jaune vif, plus rarement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",293.4570007324219,308.1310119628906,35.040000915527344,281.97467041015625
9061,525, roses,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",293.4570007324219,308.1310119628906,281.9747009277344,307.47967529296875
9062,525, ou pourprés. Fruit piri-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",293.4570007324219,308.1310119628906,307.47967529296875,419.94158935546875
9063,525,"forme,","Font: 'Times-Roman' (serifed, proportional), size 10.933, color #000000",305.21697998046875,319.8909912109375,35.040000915527344,63.66621017456055
9064,525," charnu, comestible.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",305.21697998046875,319.8909912109375,63.66621017456055,160.37338256835938
9065,525,Floraison: avril-mai.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",318.0299987792969,331.3699951171875,53.040000915527344,133.90321350097656
9066,525,L. et S. Cultivée fréquemment surtout le long de la côte. Parfois échappée de culture.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",330.2699890136719,343.6099853515625,52.31999969482422,403.90869140625
9067,525, Ne,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",330.2699890136719,343.6099853515625,403.90869140625,419.8096923828125
