,page,text,face
244,0,fleurs fertiles accrescent en tube,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
245,0,P.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
246,0, judaica,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.85539, color #000000"
247,0, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.94979, color #000000"
248,0,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.94222, color #000000"
249,0,375,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
250,0,Plantes annuelles ou au plus pérennantes,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
251,0,"plus ou moins pérennante, mais à racine peu épaisse. Fleurs hermaphrodites entourées de","Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
252,0,deux bractées,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
253,0," accrescentes,","Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
254,0," inégales, les dépassant, connées","Font: 'Times-Roman' (serifed, proportional), size 9.15611, color #000000"
255,0,P. eretica,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
256,0, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.91423, color #000000"
257,0,"franchement annuelles, à feuilles petites","Font: 'Times-Roman' (serifed, proportional), size 8.91423, color #000000"
258,0,périanthes et bractées non accrescents,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
259,0,P.,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
260,0, lusitanica,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.85539, color #000000"
261,0, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.94988, color #000000"
