,0,1,2
1507,à,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 540 of document.pdf
1508," 5 cm. de long, subulées, poilues","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1509,vers la base et brièvement connées par leurs gaines. Glomérules de l'inflorescence,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1510,en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1511, cyme,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 540 of document.pdf
1512," rameuse ou très courte. Fleurs plus ou moins sessiles. Tépales 5, lancéolés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1513,"aigus, étroitement marginés seulement vers la base, les uns rectilignes, les autres","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1514,uncinés-recourbés,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 540 of document.pdf
1515, sur le même fruit. Étamines 5 à 2. Staminodes présents. Ovaire,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1516,"à 2 stigmates, enfermé dans le réceptacle induré. Faux fruit, mûr, mesurant 3,2 à","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1517,"5,3 mm. Tépales étalés ou dressés ou connivents.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1518,"Floraison: mars-juin. Grès et terrains non calcaires, légèrement hygrophile.","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1519,L.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1520, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1521,Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1522," Bikfaya, Mayrouba (Mt),","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1523," Neba'-l-Bata,","Font: 'Times-Roman' (serifed, proportional), size 8.99788, color #000000",page 540 of document.pdf
1524, au-dessus de,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
